EmployeeID,EmployeeFirstName,EmployeeMiddleName,EmployeeLastName,EmployeePayRate,StartJob,EndJob,Gender
ABC11990,A,B,C,IDM,1/1/2021,12/31/2021,
ABC21990,A,B,C,EDMC,1/1/2022,12/31/2022,
ABC31990,A,B,C,JSDC,1/1/2023,12/31/2023,
ABC41990,A,B,C,SSDB,1/1/2024,,
ACL11990,Amelia,Chaney,Louis,ESDC,1/1/2024,,Man
ADL11980,Ainhoa,Daugherty,Lydon,ISD,1/1/2023,12/31/2023,Woman
ADL21980,Ainhoa,Daugherty,Lydon,ESDC,1/1/2024,,Woman
AGI12000,Alanna,Gallagher,Imogen,IDM,1/1/2024,,Woman
AHL11986,Amirah,Hodges,Lee,ESDB,1/1/2023,12/31/2023,Woman
AHL21986,Amirah,Hodges,Lee,JSDC,1/1/2024,,Woman
AJC11995,Agustin,Jacobson,Clementine,ESDA,1/1/2023,12/31/2023,Man
AJC21995,Agustin,Jacobson,Clementine,JSDC,1/1/2024,,Man
AJG11998,Arjun,Johns,Gavin,ISD,1/1/2023,12/31/2023,Man
AJG21998,Arjun,Johns,Gavin,ESDA,1/1/2024,,Man
AMC11997,Armani,Maldonado,Conrad,ESDC,1/1/2024,,Man
APB11994,Aitana,Ponce,Brendon,ISD,1/1/2022,12/31/2022,Man
APB21994,Aitana,Ponce,Brendon,ESDC,1/1/2023,12/31/2023,Man
APB31994,Aitana,Ponce,Brendon,JSDB,1/1/2024,,Man
APC11993,Asher,Pineda,Coy,IDM,1/1/2024,,Man
AWA11985,Aldo,Wilkins,Adele,ESDB,1/1/2024,,Man
AWA11992,Arjun,Wright,Aryn,ESDB,1/1/2023,12/31/2023,Man
AWA21992,Arjun,Wright,Aryn,JSDB,1/1/2024,,Man
BHR11988,Bobbie,Hubbard,Ricardo,CTO,1/1/2020,,
BIS11998,Bradley,Ibarra,Shane,ESDA,1/1/2023,12/31/2023,Man
BIS21998,Bradley,Ibarra,Shane,JSDB,1/1/2024,,Man
BJA11999,Barbra,Jimenez,Avery,JDMC,1/1/2024,,Woman
BMK11981,Belen,McMillan,Kate,ISD,1/1/2022,12/31/2022,Woman
BMK21981,Belen,McMillan,Kate,ESDC,1/1/2023,12/31/2023,Woman
